variant,development_selection_objective,development_original_fastwam_loss,camera_representation_gap,gap_reduction_vs_b1,camera_future_geometry_rmse,aggregate_future_utility,clean_future_utility_posthoc,camera_future_utility_posthoc,clean_success_rate_n4,camera_success_rate_n4,lighting_success_rate_n4,robot_init_success_rate_n4
B1,0.03586518205702305,0.03586518205702305,0.0022461169864982367,0.0,0.3412765085319087,-0.015649381454863942,-0.02156910815097035,-0.009729654758757533,0.25,0.25,1.0,1.0
G3,0.04829998966306448,0.03592143190326169,0.0017757044018556674,0.20943369711831286,0.3413198196775955,-0.005230561402299827,-0.015268401824187094,0.00480727901958744,0.25,0.25,1.0,1.0
G4,0.0487280385568738,0.035903844982385635,0.0016662330987552802,0.2581717208982123,0.3413307979940417,-0.011301971915031572,-0.018711703793314882,-0.0038922400367482624,0.25,0.0,1.0,1.0
